"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"20-Oct-1997","     1177.50","     1189.40","     1172.05","     1188.20","       48206566","         1934.27"
"21-Oct-1997","     1188.20","     1192.00","     1171.20","     1174.95","       59463882","         2339.65"
"22-Oct-1997","     1175.55","     1184.90","     1168.30","     1169.85","       39487770","         1514.09"
"23-Oct-1997","     1169.40","     1171.05","     1140.80","     1151.65","       46664593","         1755.38"
"24-Oct-1997","     1151.45","     1151.45","     1122.55","     1136.65","       56984155","         2402.62"
"27-Oct-1997","     1136.00","     1136.00","     1116.00","     1120.80","       40482327","         1613.70"
"28-Oct-1997","     1120.60","     1120.60","     1028.20","     1032.60","       63947067","         2177.41"
"29-Oct-1997","     1033.00","     1108.50","     1033.00","     1107.00","       59052147","         2141.69"
"30-Oct-1997","     1106.90","     1106.90","     1080.15","     1085.25","       21162485","          786.67"
"03-Nov-1997","     1085.75","     1096.05","     1071.20","     1084.00","       34125544","         1224.04"
"04-Nov-1997","     1083.80","     1097.05","     1079.55","     1090.20","       49371836","         2003.40"
"05-Nov-1997","     1091.20","     1096.05","     1081.90","     1085.00","       37018863","         1278.47"
"06-Nov-1997","     1084.80","     1085.20","     1068.40","     1080.95","       35238851","         1229.25"
"07-Nov-1997","     1081.15","     1081.45","     1072.15","     1074.80","       28282057","          973.19"
"10-Nov-1997","     1074.50","     1074.50","     1064.40","     1065.90","       24162468","          752.29"
"11-Nov-1997","     1065.90","     1076.50","     1064.30","     1073.35","       32152016","         1060.60"
"12-Nov-1997","     1073.30","     1073.30","     1042.35","     1045.00","       39837027","         1327.66"
"13-Nov-1997","     1044.55","     1044.55","     1013.10","     1022.40","       49144926","         1524.30"
"17-Nov-1997","     1022.30","     1028.50","     1014.55","     1024.95","       34317422","         1015.62"
"18-Nov-1997","     1025.30","     1025.40","     1004.20","     1009.80","       38592780","         1225.57"
"19-Nov-1997","     1009.55","     1009.55","      971.20","      987.85","       47421132","         1515.67"
"20-Nov-1997","      987.70","     1004.80","      974.20","      995.15","       55626500","         2050.08"
"21-Nov-1997","      994.85","     1014.50","      990.40","     1005.75","       56875131","         2187.90"
"24-Nov-1997","     1005.70","     1010.65","      979.75","      981.25","       46397017","         1601.80"
"25-Nov-1997","      981.10","     1015.20","      974.70","     1010.70","       63868031","         2142.72"
"26-Nov-1997","     1011.40","     1028.90","     1011.05","     1016.85","       44518022","         1463.06"
"27-Nov-1997","     1016.95","     1048.95","     1011.90","     1046.75","       54718331","         1867.79"
"28-Nov-1997","     1046.35","     1046.35","     1014.85","     1023.95","       55514201","         1934.60"
"01-Dec-1997","     1023.85","     1033.90","     1008.45","     1032.65","       36590594","         1192.20"
"02-Dec-1997","     1033.15","     1041.25","     1024.85","     1029.80","       43427325","         1604.00"
"03-Dec-1997","     1030.20","     1037.40","     1022.05","     1030.70","       42009915","         1858.88"
"04-Dec-1997","     1030.20","     1036.60","     1007.80","     1011.75","       60976410","         2035.43"
"05-Dec-1997","     1011.40","     1024.35","     1002.45","     1006.30","       48226689","         1450.21"
"08-Dec-1997","     1006.65","     1014.15","     1003.20","     1008.80","       40754070","         1521.40"
"09-Dec-1997","     1008.50","     1011.50","      979.70","      984.05","       54349531","         1851.93"
"10-Dec-1997","      983.20","      983.20","      965.85","      971.90","       36426478","         1174.36"
"11-Dec-1997","      971.70","      978.80","      943.00","      973.65","       55953731","         1938.06"
